Date, Sessions, Duration, Crops
2012-06-06,25,36,Groundnut Wheat Millet Other Castor Cotton 
2011-10-04,109,33,Chilli Castor Cumin Other Brinjal Cotton 
2011-09-12,340,41,Groundnut Chilli Castor Cumin Other Brinjal Wheat Cotton 
2012-01-02,14,45,Maize Wheat Mustard Cumin Other Castor 
2011-12-09,20,42,Other Castor Cumin 
2012-07-26,22,33,Groundnut Chilli Other Cotton 
2011-11-23,64,38,Wheat Cumin Other Brinjal Castor Cotton 
2011-12-16,4,41,Cumin Cotton 
2011-10-21,464,50,Castor Groundnut Other Cumin Cotton 
2012-05-18,4,76,Other Cotton 
2012-08-15,35,40,Other Brinjal Cumin Cotton 
2012-06-30,4,27,Other Cotton 
2012-09-01,15,17,Other Castor Cumin Cotton 
2012-03-02,22,35,Groundnut Other Wheat Cumin 
2012-02-21,25,38,Chilli Castor Mustard Cumin Millet Groundnut Wheat Other 
2012-01-10,1,34,Millet 
2012-07-11,34,51,Other Castor Cotton 
2011-12-01,130,49,Chilli Wheat Cumin Other Castor Cotton 
2012-07-18,26,52,Castor Groundnut Other Brinjal Cotton 
2012-05-03,11,55,Groundnut Other Castor Millet 
2011-11-15,179,36,Wheat Onion Cumin Other Brinjal Cotton 
2012-06-13,38,57,Groundnut Castor Millet Other Sorghum Cotton 
2011-10-13,365,48,Chilli Other Wheat Cumin Cotton 
2012-05-26,12,49,Other Cotton 
2012-03-19,21,47,Other Millet 
2011-09-07,243,39,Chilli Castor Groundnut Brinjal Wheat Other Cotton 
2012-02-29,12,36,Groundnut Other Brinjal Cumin Cotton 
2011-12-14,9,73,Other Cumin Cotton 
2011-11-30,26,76,Other Cumin Cotton 
2012-08-27,93,35,Chilli Castor Mustard Groundnut Gram Other Brinjal Cotton 
2011-12-25,27,52,Other Cumin Cotton 
2011-10-30,136,39,Castor Other Wheat Cumin Cotton 
2012-05-11,5,62,Other Cotton Castor Millet 
2012-08-21,14,29,Chilli Other Cotton 
2011-09-22,154,39,Chilli Other Castor Cumin Cotton 
2012-06-05,15,59,Other Brinjal Cumin Cotton 
2011-10-05,2628,4,Groundnut Chilli Castor Mustard Onion Maize Cumin Millet Sesame Tobacco Gram Other Garlic Brinjal Wheat Paddy Sorghum Cotton 
2011-08-30,415,27,Groundnut Chilli Castor Onion Cumin Other Brinjal Wheat Paddy Cotton 
2012-08-07,1,92,Other 
2011-09-15,209,43,Castor Other Wheat Brinjal Cotton 
2012-01-03,4,12,Other Cumin Cotton 
2011-12-06,22,40,Other Wheat Cumin Cotton 
2012-07-27,4,19,Groundnut Other Cotton 
2011-11-22,98,46,Chilli Wheat Onion Cumin Other Brinjal Castor Cotton 
2011-12-17,14,35,Other Wheat Cumin Cotton 
2011-10-22,239,45,Chilli Wheat Cumin Groundnut Brinjal Other Cotton 
2012-05-19,38,53,Sorghum Millet Other Castor Cotton 
2012-03-20,6,75,Groundnut Other 
2011-09-30,290,42,Chilli Castor Cumin Other Brinjal Cotton 
2012-06-29,10,78,Other Castor Brinjal Cotton 
2012-03-03,45,40,Groundnut Wheat Cumin Sesame Other Castor 
2012-01-16,4,64,Cumin Cotton 
2012-04-25,5,28,Other Cotton 
2012-02-20,23,43,Brinjal Other Cumin Cotton 
2012-08-28,15,45,Other Mustard Cotton 
2012-01-11,7,50,Sesame Cotton Gram Cumin Millet 
2012-07-12,6,66,Groundnut Chilli Other Cotton 
2012-08-14,17,58,Other Cumin Cotton 
2011-12-30,48,64,Castor Mustard Onion Cumin Sesame Other Wheat Cotton 
2012-07-19,24,43,Groundnut Other Brinjal Cotton 
2011-11-14,2673,1,Groundnut Chilli Wheat Mustard Onion Maize Cumin Millet Sesame Tobacco Gram Other Garlic Brinjal Castor Paddy Sorghum Cotton 
2012-06-12,8,70,Other Castor Cotton 
2011-10-14,497,49,Chilli Castor Mustard Cumin Other Brinjal Wheat Cotton 
2012-05-27,8,61,Other Cotton 
2011-09-06,3474,2,Chilli Wheat Mustard Onion Sorghum Cumin Millet Sesame Tobacco Gram Groundnut Garlic Brinjal Castor Paddy Other Cotton 
2012-03-11,4,42,Sesame Other Mustard 
2012-02-28,7,38,Groundnut Other Cumin 
2011-11-29,68,62,Other Wheat Cumin Onion Cotton 
2011-12-22,42,56,Chilli Wheat Onion Cumin Sesame Other Brinjal Castor Cotton 
2011-10-31,219,46,Groundnut Chilli Wheat Onion Cumin Other Garlic Cotton 
2012-05-08,3,61,Other Millet 
2011-11-06,37,52,Other Brinjal Cumin Onion Cotton 
2011-09-17,263,48,Chilli Castor Cumin Other Brinjal Cotton 
2012-06-04,14,49,Other Cumin Cotton 
2011-10-06,205,41,Chilli Castor Cumin Other Brinjal Cotton 
2011-08-31,3424,7,Chilli Mustard Castor Tobacco Onion Sorghum Cumin Millet Sesame Gram Groundnut Garlic Brinjal Wheat Paddy Other Cotton 
2012-08-17,10,43,Other Castor Cotton 
2011-09-14,217,51,Groundnut Chilli Castor Cumin Other Brinjal Cotton 
2012-08-03,33,36,Chilli Cumin Other Brinjal Banana Cotton 
2012-08-23,63,26,Groundnut Other Castor Brinjal Cotton 
2011-12-07,64,51,Other Wheat Cumin Cotton 
2012-07-28,14,21,Other Brinjal 
2011-11-21,236,44,Wheat Mustard Onion Cumin Other Brinjal Cotton 
2012-06-11,24,74,Other Millet Groundnut Castor Cotton 
2011-10-23,106,44,Other Wheat Brinjal Cumin Cotton 
2011-09-25,469,52,Chilli Castor Maize Cumin Other Brinjal Cotton 
2012-06-28,20,81,Chilli Castor Onion Groundnut Brinjal Other Cotton 
2012-08-12,16,45,Chilli Other Cotton 
2012-01-17,25,44,Cumin Cotton 
2012-04-24,6,25,Other 
2012-02-19,2,32,Castor Mustard 
2012-07-13,17,46,Other Chilli Groundnut Castor Cotton 
2012-08-24,29,30,Other Wheat Brinjal Cotton 
2012-07-20,51,35,Chilli Wheat Cumin Groundnut Brinjal Other Cotton 
2012-05-01,7,39,Groundnut Other Cotton 
2011-11-13,59,53,Cotton Other Cumin Brinjal 
2012-06-03,1,82,Other 
2011-10-15,190,46,Other Cumin Cotton 
2012-05-24,1,21,Other 
2011-09-01,615,27,Chilli Castor Groundnut Brinjal Other Cotton 
2012-02-27,1,14,Cumin 
